iter	Passed	Remaining
836	8501	1655
837	8510	1645
838	8520	1635
839	8530	1624
840	8540	1614
841	8551	1604
842	8560	1594
843	8570	1584
844	8579	1573
845	8589	1563
846	8599	1553
847	8609	1543
848	8618	1532
849	8628	1522
850	8637	1512
851	8647	1502
852	8657	1491
853	8666	1481
854	8676	1471
855	8686	1461
856	8697	1451
857	8708	1441
858	8719	1431
859	8729	1421
860	8738	1410
861	8747	1400
862	8757	1390
863	8767	1380
864	8778	1370
865	8786	1359
866	8796	1349
867	8805	1339
868	8815	1328
869	8826	1318
870	8835	1308
871	8845	1298
872	8854	1288
873	8863	1277
874	8873	1267
875	8883	1257
876	8892	1247
877	8902	1237
878	8912	1226
879	8921	1216
880	8931	1206
881	8941	1196
882	8950	1186
883	8960	1175
884	8970	1165
885	8980	1155
886	8990	1145
887	8999	1135
888	9009	1124
889	9019	1114
890	9028	1104
891	9038	1094
892	9047	1084
893	9057	1073
894	9066	1063
895	9076	1053
896	9085	1043
897	9094	1033
898	9104	1022
899	9113	1012
900	9123	1002
901	9133	992
902	9142	982
903	9152	971
904	9162	961
905	9172	951
906	9182	941
907	9192	931
908	9202	921
909	9211	911
910	9220	900
911	9230	890
912	9239	880
913	9249	870
914	9259	860
915	9269	850
916	9279	839
917	9288	829
918	9298	819
919	9308	809
920	9317	799
921	9326	789
922	9336	778
923	9345	768
924	9355	758
925	9365	748
926	9375	738
927	9385	728
928	9394	717
929	9403	707
930	9413	697
931	9422	687
932	9431	677
933	9441	667
934	9450	656
935	9459	646
936	9469	636
937	9479	626
938	9488	616
939	9498	606
940	9508	596
941	9518	586
942	9528	575
943	9538	565
944	9547	555
945	9556	545
946	9566	535
947	9575	525
948	9585	515
949	9595	505
950	9605	494
951	9615	484
952	9625	474
953	9635	464
954	9645	454
955	9655	444
956	9664	434
957	9676	424
958	9685	414
959	9696	404
960	9706	393
961	9716	383
962	9725	373
963	9735	363
964	9745	353
965	9755	343
966	9766	333
967	9775	323
968	9784	313
969	9795	302
970	9804	292
971	9814	282
972	9824	272
973	9834	262
974	9844	252
975	9854	242
976	9864	232
977	9874	222
978	9883	212
979	9893	201
980	9902	191
981	9911	181
982	9921	171
983	9930	161
984	9941	151
985	9950	141
986	9959	131
987	9968	121
988	9978	110
989	9987	100
990	9997	90
991	10006	80
992	10016	70
993	10026	60
994	10036	50
995	10046	40
996	10055	30
997	10065	20
998	10075	10
999	10085	0
